Hand Axe	hax
Axe	axe
Double Axe	2ax
Military Pick	mpi
War Axe	wax
Large Axe	lax
Broad Axe 	bax
Battle Axe	btx
Great Axe	gax
Giant Axe	gix
Wand	wnd
Yew Wand	ywn
Bone Wand	bwn
Grim Wand	gwn
Club	clb
Scepter	scp
Grand Scepter	gsc
War Scepter	wsp
Spiked Club	spc
Mace	mac
Morning Star	mst
Flail	fla
War Hammer	whm
Maul	mau
Great Maul	gma
Short Sword	ssd
Scimitar	scm
Saber	sbr
Falchion	flc
Crystal Sword	crs
Broad Sword	bsd
Long Sword 	lsd
War Sword	wsd
Two-Handed Sword	2hs
Claymore	clm
Giant Sword	gis
Bastard Sword	bsw
Flamberge	flb
Great Sword	gsd
Dagger	dgr
Dirk	dir
Kriss	kri
Blade	bld
Throwing Knife	tkf
Throwing Axe	tax
Balanced Knife	bkf
Balanced Axe	bal
Javelin	jav
Pilum	pil
Short Spear	ssp
Glaive	glv
Throwing Spear	tsp
Spear	spr
Trident	tri
Brandistock	brn
Spetum	spt
Pike	pik
Bardiche	bar
Voulge	vou
Scythe	scy
Poleaxe	pax
Halberd	hal
War Scythe	wsc
Short Staff	sst
Long Staff	lst
Gnarled Staff	cst
Battle Staff	bst
War Staff	wst
Short Bow	sbw
Hunter's Bow	hbw
Long Bow	lbw
Composite Bow	cbw
Short Battle Bow	sbb
Long Battle Bow	lbb
Short War Bow	swb
Long War Bow	lwb
Light Crossbow	lxb
Crossbow	mxb
Heavy Crossbow	hxb
Repeating Crossbow	rxb
Rancid Gas Potion	gps
Oil Potion	ops
Choking Gas Potion	gpm
Exploding Potion	opm
Strangling Gas Potion	gpl
Fulminating Potion	opl
decoy dagger	d33
Gidbinn	g33
Wirt's Leg	leg
Horadric Malus	hdm
Hellforge Hammer	hfh
Horadric Staff	hst
Staff of the Kings	msf
Hatchet	9ha
Cleaver	9ax
Twin Axe	92a
Crowbill	9mp
Naga	9wa
Military Axe	9la
Bearded Axe 	9ba
Tabar	9bt
Gothic Axe	9ga
Ancient Axe	9gi
Burnt Wand	9wn
Petrified Wand	9yw
Tomb Wand	9bw
Grave Wand	9gw
Cudgel	9cl
Rune Scepter	9sc
Holy Water Sprinkler	9qs
Divine Scepter	9ws
Barbed Club	9sp
Flanged Mace	9ma
Jagged Star	9mt
Knout	9fl
Battle Hammer	9wh
War Club	9m9
Martel de Fer	9gm
Gladius	9ss
Cutlass	9sm
Shamshir	9sb
Tulwar	9fc
Dimensional Blade	9cr
Battle Sword	9bs
Rune Sword	9ls
Ancient Sword	9wd
Espadon	92h
Dacian Falx	9cm
Tusk Sword	9gs
Gothic Sword	9b9
Zweihander	9fb
Executioner Sword	9gd
Poignard	9dg
Rondel	9di
Cinquedeas	9kr
Stilleto	9bl
Battle Dart	9tk
Francisca	9ta
War Dart	9bk
Hurlbat	9b8
War Javelin	9ja
Great Pilum	9pi
Simbilan	9s9
Spiculum	9gl
Harpoon	9ts
War Spear	9sr
Fuscina	9tr
War Fork	9br
Yari	9st
Lance	9p9
Lochaber Axe	9b7
Bill	9vo
Battle Scythe	9s8
Partizan	9pa
Bec-de-Corbin	9h9
Grim Scythe	9wc
Jo Staff	8ss
Quarterstaff	8ls
Cedar Staff	8cs
Gothic Staff	8bs
Rune Staff	8ws
